Kommun,Deaths per 10k Population
Ale,8.2
Alingsås,17.5
Alvesta,20.3
Aneby,4.4
Arboga,10.7
Arjeplog,22.1
Arvidsjaur,4.9
Arvika,10.0
Askersund,2.6
Avesta,10.8
Bengtsfors,12.5
Berg,11.2
Bjurholm,0.0
Bjuv,16.6
Boden,15.0
Bollebygd,9.5
Bollnäs,11.6
Borgholm,5.5
Borlänge,20.8
Borås,17.6
Botkyrka,16.1
Boxholm,5.5
Bromölla,9.4
Bräcke,30.6
Burlöv,19.8
Båstad,10.4
Dals-Ed,12.6
Danderyd,13.8
Degerfors,14.5
Dorotea,0.0
Eda,12.9
Ekerö,12.1
Eksjö,19.7
Emmaboda,3.2
Enköping,15.8
Eskilstuna,15.4
Eslöv,8.2
Essunga,12.3
Fagersta,11.3
Falkenberg,9.6
Falköping,15.3
Falun,10.6
Filipstad,13.3
Finspång,13.3
Flen,17.0
Forshaga,7.8
Färgelanda,9.0
Gagnef,13.5
Gislaved,14.2
Gnesta,17.6
Gnosjö,14.6
Gotland,7.2
Grums,4.4
Grästorp,8.8
Gullspång,5.8
Gällivare,21.2
Gävle,17.9
Göteborg,14.7
Götene,3.8
Habo,10.3
Hagfors,9.6
Hallsberg,10.6
Hallstahammar,6.7
Halmstad,9.8
Hammarö,2.4
Haninge,17.5
Haparanda,13.5
Heby,10.7
Hedemora,11.0
Helsingborg,17.8
Herrljunga,13.8
Hjo,10.8
Hofors,26.1
Huddinge,15.5
Hudiksvall,18.3
Hultsfred,24.0
Hylte,3.7
Håbo,12.3
Hällefors,17.4
Härjedalen,3.0
Härnösand,12.7
Härryda,7.1
Hässleholm,12.5
Höganäs,7.7
Högsby,5.2
Hörby,5.7
Höör,4.2
Jokkmokk,6.2
Järfälla,19.7
Jönköping,12.6
Kalix,11.4
Kalmar,5.8
Karlsborg,4.3
Karlshamn,7.1
Karlskoga,8.9
Karlskrona,7.1
Karlstad,5.3
Katrineholm,17.2
Kil,8.3
Kinda,13.0
Kiruna,12.8
Klippan,9.6
Knivsta,4.2
Kramfors,25.4
Kristianstad,12.6
Kristinehamn,6.6
Krokom,2.0
Kumla,8.7
Kungsbacka,8.1
Kungsör,4.6
Kungälv,8.7
Kävlinge,10.6
Köping,11.9
Laholm,8.5
Landskrona,12.7
Laxå,21.2
Lekeberg,0.0
Leksand,13.3
Lerum,11.0
Lessebo,12.7
Lidingö,20.6
Lidköping,11.4
Lilla Edet,13.3
Lindesberg,8.5
Linköping,14.1
Ljungby,10.9
Ljusdal,20.7
Ljusnarsberg,6.4
Lomma,8.0
Ludvika,15.8
Luleå,8.7
Lund,8.3
Lycksele,9.7
Lysekil,12.5
Malmö,12.7
Malung,4.9
Malå,9.9
Mariestad,6.9
Mark,14.6
Markaryd,11.6
Mellerud,12.9
Mjölby,13.3
Mora,5.4
Motala,12.4
Mullsjö,4.1
Munkedal,12.3
Munkfors,34.9
Mölndal,10.1
Mönsterås,17.3
Mörbylånga,5.8
Nacka,15.7
Nora,12.1
Norberg,5.2
Nordanstig,31.6
Nordmaling,4.2
Norrköping,14.5
Norrtälje,17.6
Norsjö,0.0
Nybro,6.4
Nykvarn,13.4
Nyköping,17.2
Nynäshamn,15.6
Nässjö,22.8
Ockelbo,13.6
Olofström,19.5
Orsa,20.3
Orust,9.2
Osby,10.6
Oskarshamn,8.5
Ovanåker,18.0
Oxelösund,25.0
Pajala,13.4
Partille,11.1
Perstorp,16.0
Piteå,5.2
Ragunda,5.8
Robertsfors,4.4
Ronneby,6.5
Rättvik,2.7
Sala,13.6
Salem,17.2
Sandviken,14.2
Sigtuna,22.5
Simrishamn,12.0
Sjöbo,4.1
Skara,13.9
Skellefteå,11.3
Skinnskatteberg,6.9
Skurup,12.5
Skövde,16.5
Smedjebacken,10.1
Sollefteå,29.1
Sollentuna,21.8
Solna,16.3
Sorsele,0.0
Sotenäs,9.9
Staffanstorp,8.1
Stenungsund,3.3
Stockholm,18.0
Storfors,7.5
Storuman,20.6
Strängnäs,7.3
Strömstad,5.3
Strömsund,10.4
Sundbyberg,18.6
Sundsvall,13.8
Sunne,9.0
Surahammar,10.9
Svalöv,9.1
Svedala,6.2
Svenljunga,8.4
Säffle,1.9
Säter,15.3
Sävsjö,23.0
Söderhamn,35.2
Söderköping,9.6
Södertälje,23.7
Sölvesborg,9.8
Tanum,10.8
Tibro,21.3
Tidaholm,14.8
Tierp,12.2
Timrå,24.5
Tingsryd,12.9
Tjörn,7.4
Tomelilla,3.7
Torsby,5.2
Torsås,22.4
Tranemo,14.3
Tranås,6.3
Trelleborg,14.4
Trollhättan,16.2
Trosa,9.1
Tyresö,17.1
Täby,14.9
Töreboda,14.0
Uddevalla,15.3
Ulricehamn,13.0
Umeå,3.6
Upplands Väsby,23.9
Upplands-Bro,15.9
Uppsala,12.0
Uppvidinge,11.6
Vadstena,12.1
Vaggeryd,11.7
Valdemarsvik,20.7
Vallentuna,7.9
Vansbro,22.0
Vara,11.2
Varberg,10.6
Vaxholm,5.9
Vellinge,12.5
Vetlanda,22.9
Vilhelmina,4.6
Vimmerby,16.6
Vindeln,5.5
Vingåker,19.7
Vårgårda,10.1
Vänersborg,18.9
Vännäs,3.3
Värmdö,16.7
Värnamo,13.6
Västervik,12.6
Västerås,14.2
Växjö,14.1
Ydre,8.0
Ystad,4.2
Åmål,17.7
Ånge,29.1
Åre,7.5
Årjäng,8.0
Åsele,10.7
Åstorp,11.2
Åtvidaberg,9.6
Älmhult,21.8
Älvdalen,4.3
Älvkarleby,38.9
Älvsbyn,6.2
Ängelholm,12.8
Öckerö,8.5
Ödeshög,24.4
Örebro,10.7
Örkelljunga,13.4
Örnsköldsvik,13.1
Östersund,9.8
Österåker,13.1
Östhammar,15.3
Östra Göinge,12.0
Överkalix,15.2
Övertorneå,16.6
